title,title_pt,author,abstract,abstract_pt
SDN Controllers: A Comprehensive Analysis and Performance Evaluation Study,Controladores SDN: um estudo abrangente de análise e avaliação de desempenho,"Zhu, Liehuang and Karim, Md M. and Sharif, Kashif and Xu, Chang and Li, Fan and Du, Xiaojiang and Guizani, Mohsen","Software-defined networks offer flexible and intelligent network operations by splitting a traditional network into a centralized control plane and a programmable data plane. The controller in the control plane is the fundamental element used to manage all operations of the data plane. Hence, the performance and capabilities of the controller itself are essential in achieving optimal performance. Furthermore, the tools used to benchmark their performance must be accurate and useful in measuring different evaluation parameters. There are dozens of controller proposals for general and specialized networks in the literature. However, there is a very limited comprehensive quantitative analysis for them. In this article, we present a comprehensive qualitative comparison of different SDN controllers, along with a quantitative analysis of their performance in different network scenarios. We categorize and classify 34 controllers and present a qualitative comparison. We also present a comparative analysis of controllers for specialized networks such as the Internet of Things, blockchain networks, vehicular networks, and wireless sensor networks. We also discuss in-depth capabilities of benchmarking tools and provide a comparative analysis of their capabilities. This work uses three benchmarking tools to compare 9 controllers and presents a detailed analysis of their performance, along with discussion on performance of specialized network controllers.","As redes definidas por software oferecem operações de rede flexíveis e inteligentes, dividindo uma rede tradicional em um plano de controle centralizado e um plano de dados programável. O controlador no plano de controle é o elemento fundamental usado para gerenciar todas as operações do plano de dados. Conseqüentemente, o desempenho e as capacidades do próprio controlador são essenciais para alcançar o desempenho ideal. Além disso, as ferramentas utilizadas para avaliar o seu desempenho devem ser precisas e úteis na medição de diferentes parâmetros de avaliação. Existem dezenas de propostas de controladores para redes gerais e especializadas na literatura. No entanto, há uma análise quantitativa abrangente muito limitada para eles. Neste artigo, apresentamos uma comparação qualitativa abrangente de diferentes controladores SDN, juntamente com uma análise quantitativa de seu desempenho em diferentes cenários de rede. Categorizamos e classificamos 34 controladores e apresentamos uma comparação qualitativa. Apresentamos também uma análise comparativa de controladores para redes especializadas como Internet das Coisas, redes blockchain, redes veiculares e redes de sensores sem fio. Também discutimos capacidades aprofundadas das ferramentas de benchmarking e fornecemos uma análise comparativa de suas capacidades. Este trabalho utiliza três ferramentas de benchmarking para comparar 9 controladores e apresenta uma análise detalhada de seu desempenho, juntamente com uma discussão sobre o desempenho de controladores de rede especializados."
Trends in object-oriented software evolution: investigating network properties,Tendências na evolução do software orientado a objetos: investigando propriedades de rede,"Chatzigeorgiou, Alexander and Melas, George",The rise of social networks and the accompanying interest to study their evolution has stimulated a number of research efforts to analyze their growth patterns by means of network analysis. The inherent graph-like structure of object-oriented systems calls for the application of the corresponding methods and tools to analyze software evolution. In this paper we investigate network properties of two open-source systems and observe interesting phenomena regarding their growth. Relating the observed evolutionary trends to principles and laws of software design enables a high-level assessment of tendencies in the underlying design quality.,A ascensão das redes sociais e o consequente interesse em estudar a sua evolução estimulou uma série de esforços de investigação para analisar os seus padrões de crescimento através da análise de redes. A estrutura gráfica inerente aos sistemas orientados a objetos exige a aplicação dos métodos e ferramentas correspondentes para analisar a evolução do software. Neste artigo investigamos propriedades de rede de dois sistemas de código aberto e observamos fenômenos interessantes em relação ao seu crescimento. Relacionar as tendências evolutivas observadas aos princípios e leis do design de software permite uma avaliação de alto nível das tendências na qualidade do design subjacente.
Towards dependable clients: improving the reliability and availability of the browsers,Rumo a clientes confiáveis: melhorando a confiabilidade e a disponibilidade dos navegadores,"Rudafshani, Masoomeh and Ward, Paul A. S.","According to autonomic computing vision, system dependability can be improved by adding self-healing properties to make it capable of realizing failures and recovering from them automatically. Server-side self-healing is a well-established discipline and has resulted in substantial cost reductions for data centers. In contrast, self-healing on the client side has not been so well-studied.In this work, we present our approach for improving browser dependability. As desktop applications are being replaced by web applications, browsers are becoming the common application platform; therefore, it is critical for the browsers to be highly reliable and available. Our system is designed to achieve this goal by monitoring the browser components, analyzing the collected data using statistical techniques to predict failures, and taking actions to remove or reduce effects of errors if needed. This paper presents the overall draft of our solution for making the browser dependable, including the prototype architecture, its different components, and the related state of the art and future work.","De acordo com a visão da computação autônoma, a confiabilidade do sistema pode ser melhorada adicionando propriedades de autocura para torná-lo capaz de perceber falhas e se recuperar delas automaticamente. A autocorreção do lado do servidor é uma disciplina bem estabelecida e resultou em reduções substanciais de custos para data centers. Em contraste, a autocorreção no lado do cliente não foi tão bem estudada. Neste trabalho, apresentamos nossa abordagem para melhorar a confiabilidade do navegador. À medida que os aplicativos de desktop estão sendo substituídos por aplicativos da Web, os navegadores estão se tornando a plataforma de aplicativos comum; portanto, é fundamental que os navegadores sejam altamente confiáveis ​​e disponíveis. Nosso sistema foi projetado para atingir esse objetivo monitorando os componentes do navegador, analisando os dados coletados usando técnicas estatísticas para prever falhas e tomando ações para remover ou reduzir os efeitos dos erros, se necessário. Este artigo apresenta o esboço geral da nossa solução para tornar o navegador confiável, incluindo a arquitetura do protótipo, seus diferentes componentes e o estado da arte relacionado e trabalhos futuros."
A survey of online failure prediction methods,Uma pesquisa sobre métodos de previsão de falhas on-line,"Salfner, Felix and Lenk, Maren and Malek, Miroslaw","With the ever-growing complexity and dynamicity of computer systems, proactive fault management is an effective approach to enhancing availability. Online failure prediction is the key to such techniques. In contrast to classical reliability methods, online failure prediction is based on runtime monitoring and a variety of models and methods that use the current state of a system and, frequently, the past experience as well. This survey describes these methods. To capture the wide spectrum of approaches concerning this area, a taxonomy has been developed, whose different approaches are explained and major concepts are described in detail.","Com a complexidade e a dinamicidade cada vez maiores dos sistemas computacionais, o gerenciamento proativo de falhas é uma abordagem eficaz para aumentar a disponibilidade. A previsão de falhas online é a chave para tais técnicas. Em contraste com os métodos clássicos de confiabilidade, a previsão de falhas on-line é baseada no monitoramento do tempo de execução e em uma variedade de modelos e métodos que utilizam o estado atual de um sistema e, frequentemente, também a experiência passada. Esta pesquisa descreve esses métodos. Para captar o amplo espectro de abordagens relativas a esta área, foi desenvolvida uma taxonomia, cujas diferentes abordagens são explicadas e os principais conceitos são descritos em detalhe."
EXA2PRO programming environment: architecture and applications,Ambiente de programação EXA2PRO: arquitetura e aplicações,"Soudris, Dimitrios and Papadopoulos, Lazaros and Kessler, Christoph W. and Kehagias, Dionysios D. and Papadopoulos, Athanasios and Seferlis, Panos and Chatzigeorgiou, Alexander and Ampatzoglou, Apostolos and Thibault, Samuel and Namyst, Raymond and Pleiter, Dirk and Gaydadjiev, Georgi and Becker, Tobias and Haefele, Matthieu","The EXA2PRO programming environment will integrate a set of tools and methodologies that will allow to systematically address many exascale computing challenges, including performance, performance portability, programmability, abstraction and reusability, fault tolerance and technical debt. The EXA2PRO tool-chain will enable the efficient deployment of applications in exascale computing systems, by integrating high-level software abstractions that offer performance portability and efficient exploitation of exascale systems' heterogeneity, tools for efficient memory management, optimizations based on trade-offs between various metrics and fault-tolerance support. Hence, by addressing various aspects of productivity challenges, EXA2PRO is expected to have significant impact in the transition to exascale computing, as well as impact from the perspective of applications. The evaluation will be based on 4 applications from 4 different domains that will be deployed in JUELICH supercomputing center. The EXA2PRO will generate exploitable results in the form of a tool-chain that support diverse exascale heterogeneous supercomputing centers and concrete improvements in various exascale computing challenges.","O ambiente de programação EXA2PRO integrará um conjunto de ferramentas e metodologias que permitirão abordar sistematicamente muitos desafios de computação em exaescala, incluindo desempenho, portabilidade de desempenho, programabilidade, abstração e reutilização, tolerância a falhas e dívida técnica. A cadeia de ferramentas EXA2PRO permitirá a implantação eficiente de aplicações em sistemas de computação em exaescala, integrando abstrações de software de alto nível que oferecem portabilidade de desempenho e exploração eficiente da heterogeneidade dos sistemas em exaescala, ferramentas para gerenciamento eficiente de memória, otimizações baseadas em compensações entre várias métricas e suporte à tolerância a falhas. Assim, ao abordar vários aspectos dos desafios de produtividade, espera-se que EXA2PRO tenha um impacto significativo na transição para a computação em exaescala, bem como um impacto na perspectiva das aplicações. A avaliação será baseada em 4 aplicações de 4 domínios diferentes que serão implantadas no centro de supercomputação JUELICH. O EXA2PRO gerará resultados exploráveis ​​na forma de uma cadeia de ferramentas que suporta diversos centros de supercomputação heterogêneos em exaescala e melhorias concretas em vários desafios de computação em exaescala."
SH\~{o}WA: A Self-Healing Framework for Web-Based Applications,SH\~{o}WA: uma estrutura de autocorreção para aplicativos baseados na Web,"Magalh\~{a}es, Jo\~{a}o Paulo and Silva, Luis Moura","The complexity of systems is considered an obstacle to the progress of the IT industry. Autonomic computing is presented as the alternative to cope with the growing complexity. It is a holistic approach, in which the systems are able to configure, heal, optimize, and protect by themselves. Web-based applications are an example of systems where the complexity is high. The number of components, their interoperability, and workload variations are factors that may lead to performance failures or unavailability scenarios. The occurrence of these scenarios affects the revenue and reputation of businesses that rely on these types of applications.In this article, we present a self-healing framework for Web-based applications (SH\~{o}WA). SH\~{o}WA is composed by several modules, which monitor the application, analyze the data to detect and pinpoint anomalies, and execute recovery actions autonomously. The monitoring is done by a small aspect-oriented programming agent. This agent does not require changes to the application source code and includes adaptive and selective algorithms to regulate the level of monitoring. The anomalies are detected and pinpointed by means of statistical correlation. The data analysis detects changes in the server response time and analyzes if those changes are correlated with the workload or are due to a performance anomaly. In the presence of performance anomalies, the data analysis pinpoints the anomaly. Upon the pinpointing of anomalies, SH\~{o}WA executes a recovery procedure. We also present a study about the detection and localization of anomalies, the accuracy of the data analysis, and the performance impact induced by SH\~{o}WA. Two benchmarking applications, exercised through dynamic workloads, and different types of anomaly were considered in the study. The results reveal that (1) the capacity of SH\~{o}WA to detect and pinpoint anomalies while the number of end users affected is low; (2) SH\~{o}WA was able to detect anomalies without raising any false alarm; and (3) SH\~{o}WA does not induce a significant performance overhead (throughput was affected in less than 1%, and the response time delay was no more than 2 milliseconds).","A complexidade dos sistemas é considerada um obstáculo ao progresso da indústria de TI. A computação autônoma se apresenta como alternativa para lidar com a crescente complexidade. É uma abordagem holística, na qual os sistemas são capazes de configurar, curar, otimizar e proteger por si próprios. Os aplicativos baseados na Web são um exemplo de sistemas onde a complexidade é alta. A quantidade de componentes, sua interoperabilidade e variações de carga de trabalho são fatores que podem levar a falhas de desempenho ou cenários de indisponibilidade. A ocorrência desses cenários afeta a receita e a reputação das empresas que dependem desses tipos de aplicativos. Neste artigo, apresentamos uma estrutura de autocorreção para aplicativos baseados na Web (SH\~{o}WA). O SH\~{o}WA é composto por diversos módulos, que monitoram a aplicação, analisam os dados para detectar e identificar anomalias e executam ações de recuperação de forma autônoma. O monitoramento é feito por um pequeno agente de programação orientado a aspectos. Este agente não requer alterações no código-fonte da aplicação e inclui algoritmos adaptativos e seletivos para regular o nível de monitoramento. As anomalias são detectadas e identificadas por meio de correlação estatística. A análise de dados detecta alterações no tempo de resposta do servidor e analisa se essas alterações estão correlacionadas com a carga de trabalho ou são devidas a uma anomalia de desempenho. Na presença de anomalias de desempenho, a análise de dados identifica a anomalia. Ao identificar anomalias, o SH\~{o}WA executa um procedimento de recuperação. Apresentamos também um estudo sobre a detecção e localização de anomalias, a precisão da análise de dados e o impacto no desempenho induzido pelo SH\~{o}WA. Duas aplicações de benchmarking, exercidas por meio de cargas de trabalho dinâmicas, e diferentes tipos de anomalia foram consideradas no estudo. Os resultados revelam que (1) a capacidade do SH\~{o}WA para detectar e identificar anomalias enquanto o número de utilizadores finais afectados é baixo; (2) SH\~{o}WA foi capaz de detectar anomalias sem gerar qualquer alarme falso; e (3) SH\~{o}WA não induz uma sobrecarga significativa de desempenho (a taxa de transferência foi afetada em menos de 1% e o atraso no tempo de resposta não foi superior a 2 milissegundos)."
MemRed: towards reliable web applications,MemRed: rumo a aplicações web confiáveis,"Rudafshani, Masoomeh and Ward, Paul A. S. and Wong, Bernard","Current approaches for improving the reliability of web services focus on server side data collection and analysis to detect errors and prevent failures. However, significant portions of modern web applications are executed on the client browser with the server only acting as a data store. These applications are mostly developed using Javascript, which presents a challenge for developing reliable web applications due to a current lack of tools for debugging Javascript applications. In addition, these applications use AJAX to communicate with the server asynchronously; therefore they remain on the same page during their lifetime that can lead to runaway memory usage from even minor memory leaks. In this paper, we introduce MemRed, a system that improves the reliability of the client side of web applications. It achieves this goal by taking advantage of browser APIs to monitor web applications. It analyzes the collected data to detect excessive memory utilization and applies recovery action to hide failures from end users, if needed. Our prototype is implemented as an extension for the Chrome browser. The evaluation shows the effectiveness of recovery actions in lowering memory usage of web applications.","As abordagens atuais para melhorar a confiabilidade dos serviços web concentram-se na coleta e análise de dados no servidor para detectar erros e prevenir falhas. No entanto, partes significativas das aplicações web modernas são executadas no navegador do cliente, com o servidor atuando apenas como armazenamento de dados. Essas aplicações são desenvolvidas principalmente em Javascript, o que representa um desafio para o desenvolvimento de aplicações web confiáveis ​​devido à atual falta de ferramentas para depuração de aplicações Javascript. Além disso, essas aplicações utilizam AJAX para se comunicarem com o servidor de forma assíncrona; portanto, eles permanecem na mesma página durante sua vida útil, o que pode levar ao uso descontrolado de memória, até mesmo por pequenos vazamentos de memória. Neste artigo, apresentamos o MemRed, um sistema que melhora a confiabilidade do lado cliente de aplicações web. Ele atinge esse objetivo aproveitando as APIs do navegador para monitorar aplicativos da web. Ele analisa os dados coletados para detectar utilização excessiva de memória e aplica ações de recuperação para ocultar falhas dos usuários finais, se necessário. Nosso protótipo é implementado como uma extensão para o navegador Chrome. A avaliação mostra a eficácia das ações de recuperação na redução do uso de memória de aplicações web."
SBES '22: Proceedings of the XXXVI Brazilian Symposium on Software Engineering,SBES '22: Anais do XXXVI Simpósio Brasileiro de Engenharia de Software,,,#VALUE!
ASE '16: Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,ASE '16: Anais da 31ª Conferência Internacional IEEE/ACM sobre Engenharia de Software Automatizada,,,#VALUE!
Koli Calling '23: Proceedings of the 23rd Koli Calling International Conference on Computing Education Research,Koli Calling '23: Procedimentos da 23ª Conferência Internacional Koli Calling sobre Pesquisa em Educação em Computação,,,#VALUE!
CHI EA '21: Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,CHI EA '21: Resumos estendidos da Conferência CHI 2021 sobre Fatores Humanos em Sistemas Computacionais,,,#VALUE!
Tracking the software quality of Android applications along their evolution,Acompanhando a qualidade do software de aplicativos Android ao longo de sua evolução,"Hecht, Geoffrey and Benomar, Omar and Rouvoy, Romain and Moha, Naouel and Duchien, Laurence","Mobile apps are becoming complex software systems that must be developed quickly and evolve continuously to fit new user requirements and execution contexts. However, addressing these requirements may result in poor design choices, also known as antipatterns, which may incidentally degrade software quality and performance. Thus, the automatic detection and tracking of antipatterns in this apps are important activities in order to ease both maintenance and evolution. Moreover, they guide developers to refactor their applications and thus, to improve their quality. While antipatterns are well-known in object-oriented applications, their study in mobile applications is still in its infancy. In this paper, we analyze the evolution of mobile apps quality on 3,568 versions of 106 popular Android applications downloaded from the Google Play Store. For this purpose, we use a tooled approach, called Paprika, to identify 3 object-oriented and 4 Android-specific antipatterns from binaries of mobile apps, and to analyze their quality along evolutions.","Os aplicativos móveis estão se tornando sistemas de software complexos que devem ser desenvolvidos rapidamente e evoluir continuamente para atender aos novos requisitos dos usuários e contextos de execução. No entanto, atender a esses requisitos pode resultar em escolhas inadequadas de design, também conhecidas como antipadrões, que podem, incidentalmente, degradar a qualidade e o desempenho do software. Assim, a detecção e rastreamento automático de antipadrões nestas aplicações são atividades importantes para facilitar tanto a manutenção quanto a evolução. Além disso, orientam os desenvolvedores a refatorar suas aplicações e, assim, melhorar sua qualidade. Embora os antipadrões sejam bem conhecidos em aplicações orientadas a objetos, seu estudo em aplicações móveis ainda está em sua infância. Neste artigo, analisamos a evolução da qualidade dos aplicativos móveis em 3.568 versões de 106 aplicativos Android populares baixados da Google Play Store. Para tanto, utilizamos uma abordagem ferramental, chamada Paprika, para identificar 3 antipadrões orientados a objetos e 4 antipadrões específicos do Android a partir de binários de aplicativos móveis, e analisar sua qualidade ao longo da evolução."
